Noise,N,0,1,2,3,4
0.0010,100,0.7142,62105.2570,376956.8361,3126000.5946,4039625.4782
0.0000,100,0.7002,2721836.2920,339208.8757,61078600.3013,25473032.0099
0.0010,200,0.7005,90163.4005,407865.9242,1558127.8672,736528.5279
0.0000,200,0.6998,1670756.3184,4503457.0002,31133954.7638,11295844.5761
0.0010,400,0.7031,36123.4613,7003035.5052,2104349.1065,152101.8857
0.0000,400,0.6993,500073.5673,5339723.7107,38415139.8731,18912247.6878
0.0010,800,0.6934,454023.2653,1936634.5749,830728.1414,1324841.1813
0.0000,800,0.6949,1681616.6504,2799463.5765,77274745.1733,3149120.6730
0.0010,1600,0.6957,273151.7536,310925.6326,793077.6709,1087148.6721
0.0000,1600,0.6939,774734.3745,1361323.2796,36007051.4063,4723052.1769
