Noise,N,0,1,2,3,4
0.001,100,0.7141644526938817,62105.256985503926,376956.8361109191,3126000.59464751,4039625.478155552
0.0,100,0.7001801848355881,2721836.2920409115,339208.87569542817,61078600.30126394,25473032.00985965
0.001,200,0.7004655990267195,90163.40049141333,407865.92423794995,1558127.8672469978,736528.5279479725
0.0,200,0.6998159832334702,1670756.3183775262,4503457.000178343,31133954.763771694,11295844.576112146
0.001,400,0.7030785879894191,36123.46129235867,7003035.505160105,2104349.1065136767,152101.88567971234
0.0,400,0.6993427548347135,500073.56730036094,5339723.710703859,38415139.87305909,18912247.687789086
0.001,800,0.6933998875297993,454023.2652609926,1936634.5748791404,830728.1414174356,1324841.181308807
0.0,800,0.6948940090688334,1681616.6504476352,2799463.57653796,77274745.17327933,3149120.6729635037
0.001,1600,0.6956654487768206,273151.75363921514,310925.632558008,793077.6708662334,1087148.6720855336
0.0,1600,0.6938947179180812,774734.3744608636,1361323.2796362322,36007051.40631609,4723052.176877901
