Noise,N,0,1,2,3,4
0.0969,100,0.0317,0.1432,0.0242,0.1792,0.1131
0.0531,100,0.0433,0.1452,0.0197,0.0283,0.1103
0.0105,100,0.1425,0.0459,0.0430,0.0546,0.0433
0.1121,200,0.1537,0.0098,0.0178,0.0551,0.0802
0.0528,200,0.0062,0.2979,0.1001,0.0092,0.0546
0.0110,200,0.1949,0.0643,0.2040,0.0061,0.0078
0.1051,400,0.0018,0.0461,0.0334,0.2573,0.1051
0.0505,400,0.0818,0.0214,0.0075,0.0557,0.1963
0.0105,400,0.0174,0.0070,0.1169,0.0245,0.2260
0.1010,800,0.1711,0.2137,0.0084,0.0838,0.0004
0.0497,800,0.0361,0.1768,0.0007,0.1050,0.0412
0.0101,800,0.0659,0.0943,0.0231,0.1033,0.0163
0.1003,1600,0.0167,0.0936,0.0561,0.1078,0.0318
0.0521,1600,0.0542,0.0530,0.0341,0.0179,0.1473
0.0106,1600,0.0046,0.0475,0.1078,0.1655,0.0233
