Noise,N,0,1,2,3,4
0.0969,100,0.4947,0.1240,0.0282,0.0341,0.0133
0.0531,100,0.3960,0.1152,0.0452,0.0176,0.0029
0.0105,100,0.4301,0.0657,0.0497,0.0226,0.0060
0.1121,200,0.3904,0.0618,0.0587,0.0070,0.0027
0.0528,200,0.4322,0.0648,0.0451,0.0129,0.0143
0.0110,200,0.4103,0.1718,0.0761,0.0070,0.0010
0.1051,400,0.3900,0.1131,0.0376,0.0229,0.0022
0.0505,400,0.3868,0.1556,0.0332,0.0066,0.0078
0.0105,400,0.3761,0.1179,0.0385,0.0192,0.0027
0.1010,800,0.3728,0.2246,0.0853,0.0081,0.0005
0.0497,800,0.3762,0.1709,0.0151,0.0524,0.0004
0.0101,800,0.3850,0.0957,0.0279,0.0174,0.0110
0.1003,1600,0.3730,0.1140,0.0289,0.0369,0.0027
0.0521,1600,0.3712,0.1800,0.0199,0.0088,0.0096
0.0106,1600,0.3674,0.1071,0.0329,0.0169,0.0071
