Noise,N,0,1,2,3,4
0.0969,100,0.8965,1.3279,2.7667,3.6448,3.5340
0.0531,100,0.7726,0.6677,1.9699,2.8622,2.7788
0.0105,100,0.7842,1.3548,1.6119,2.0358,2.4700
0.1121,200,0.7623,1.0121,1.3631,2.8581,3.4228
0.0528,200,1.0168,1.4828,1.7976,1.4600,1.8500
0.0110,200,0.8400,1.0543,1.4123,2.3486,3.1008
0.1051,400,0.8880,1.0236,1.5641,1.8744,2.7555
0.0505,400,0.8606,0.8365,1.5871,2.2516,2.3807
0.0105,400,0.8488,0.9269,1.3229,1.5121,3.5697
0.1010,800,0.8247,0.8264,1.3036,2.4458,4.4955
0.0497,800,0.7523,0.7998,1.6212,1.2860,4.6910
0.0101,800,0.7409,0.9045,1.2493,1.7166,1.8021
0.1003,1600,0.7852,0.8786,1.2823,1.2909,2.9390
0.0521,1600,0.7408,0.7779,1.3474,1.7218,1.7305
0.0106,1600,0.7043,0.8450,1.0534,1.4835,1.7058
