Noise,N,0,1,2,3
0.0969,100,0.3441,0.5596,0.6820,1.0000
0.0531,100,0.3037,0.4333,0.5830,1.0000
0.0105,100,0.3592,0.4911,0.7417,1.0000
0.1121,200,0.3489,0.4831,0.7605,1.0000
0.0528,200,0.4152,0.5142,0.7648,1.0000
0.0110,200,0.4611,0.5508,0.8251,1.0000
0.1051,400,0.3452,0.4576,0.6585,1.0000
0.0505,400,0.3926,0.6343,0.8549,1.0000
0.0105,400,0.3522,0.4959,0.8181,1.0000
0.1010,800,0.3229,0.5644,0.7974,1.0000
0.0497,800,0.3149,0.5312,0.7012,1.0000
0.0101,800,0.3242,0.4618,0.6789,1.0000
0.1003,1600,0.3339,0.4471,0.6512,1.0000
0.0521,1600,0.3311,0.5196,0.7366,1.0000
0.0106,1600,0.3538,0.4622,0.6800,1.0000
