Noise,N,0,1,2,3,4
0.0969,100,0.2743,0.9649,1.0000,0.2743,0.9649
0.0531,100,0.5984,0.9792,1.0000,0.5984,0.9792
0.0105,100,0.5792,0.9617,1.0000,0.5792,0.9617
0.1121,200,0.7226,0.9240,1.0000,0.7226,0.9240
0.0528,200,0.6127,0.9903,1.0000,0.6127,0.9903
0.0110,200,0.8488,0.9902,1.0000,0.8488,0.9902
0.1051,400,0.7658,0.9478,1.0000,0.7658,0.9478
0.0505,400,0.6418,0.9778,1.0000,0.6418,0.9778
0.0105,400,0.5592,0.9980,1.0000,0.5592,0.9980
0.1010,800,0.9304,0.9963,1.0000,0.9304,0.9963
0.0497,800,0.2941,0.9823,1.0000,0.2941,0.9823
0.0101,800,0.4215,0.9970,1.0000,0.4215,0.9970
0.1003,1600,0.4014,0.9987,1.0000,0.4014,0.9987
0.0521,1600,0.4785,0.9856,1.0000,0.4785,0.9856
0.0106,1600,0.6466,0.9288,1.0000,0.6466,0.9288
