Noise,N,0,1,2,3,4
0.0969,100,0.1980,0.1539,0.4395,0.8588,-0.0800
0.0969,100,-0.3202,0.8342,0.1789,-0.2007,-0.3595
0.0969,100,0.3836,0.5280,-0.4242,0.0919,0.6211
0.0969,100,0.7701,0.0366,-0.1637,-0.1558,-0.5955
0.0969,100,0.3437,0.0174,0.7537,-0.4353,0.3522
0.0531,100,-0.6496,-0.5267,0.4056,-0.2774,-0.2433
0.0531,100,-0.0595,-0.5210,-0.1950,0.1248,0.8194
0.0531,100,0.1180,-0.0515,-0.4759,-0.8700,-0.0049
0.0531,100,0.6733,-0.6404,0.0927,0.0805,-0.3485
0.0531,100,0.3275,0.1958,0.7500,-0.3796,0.3846
0.0105,100,-0.1142,0.3000,-0.5698,-0.7391,-0.1614
0.0105,100,-0.7808,-0.5532,0.1111,-0.1396,-0.2293
0.0105,100,0.3475,-0.0195,0.5952,-0.3867,-0.6124
0.0105,100,0.1498,-0.1416,-0.5079,0.4630,-0.6965
0.0105,100,-0.4839,0.7639,0.2253,0.2651,-0.2474
0.1121,200,-0.2053,-0.1048,-0.4005,0.7040,0.5393
0.1121,200,0.7896,-0.3307,0.3427,0.0873,0.3769
0.1121,200,-0.0492,-0.6525,0.0717,0.4120,-0.6301
0.1121,200,-0.5089,-0.0513,0.8126,0.1094,0.2570
0.1121,200,-0.2701,-0.6718,-0.2379,-0.5613,0.3227
0.0528,200,0.2615,0.9225,-0.2698,-0.0428,0.0780
0.0528,200,-0.4505,0.2549,0.3343,-0.4895,-0.6170
0.0528,200,0.1882,0.1880,0.8985,0.1295,0.3243
0.0528,200,0.7358,-0.2208,0.0246,-0.6291,-0.1160
0.0528,200,-0.3896,-0.0017,-0.0871,-0.5882,0.7033
0.0110,200,0.8949,0.2828,-0.2493,0.2355,-0.0393
0.0110,200,0.1931,-0.0457,0.8400,0.2804,0.4199
0.0110,200,-0.2918,0.9201,-0.0208,0.0249,0.2592
0.0110,200,0.0854,0.2670,0.4785,-0.2700,-0.7871
0.0110,200,0.2635,0.0052,0.0530,-0.8902,0.3679
0.1051,400,-0.1932,-0.1787,0.2852,-0.9216,-0.0087
0.1051,400,0.0755,0.4452,-0.3928,-0.2310,0.7671
0.1051,400,-0.1682,-0.8206,-0.4775,0.0441,0.2615
0.1051,400,-0.1984,-0.1765,0.7157,0.2918,0.5763
0.1051,400,0.9430,-0.2557,0.1552,-0.1010,0.1047
0.0505,400,-0.5859,-0.2747,-0.1418,-0.2793,0.6950
0.0505,400,-0.4278,-0.1512,-0.2482,-0.5198,-0.6799
0.0505,400,-0.3374,-0.5814,0.5215,0.4794,-0.2152
0.0505,400,-0.5721,0.5917,-0.2205,0.5164,-0.0859
0.0505,400,0.1803,-0.4620,-0.7731,0.3942,-0.0299
0.0105,400,0.0737,-0.1571,0.6118,-0.1702,0.7527
0.0105,400,-0.2086,0.3606,-0.5785,0.3003,0.6338
0.0105,400,0.6421,0.0981,0.1843,0.7372,-0.0255
0.0105,400,-0.7210,-0.2029,0.3190,0.5718,-0.1017
0.0105,400,-0.1374,0.8913,0.3942,-0.1025,-0.1441
0.1010,800,-0.7606,-0.5357,-0.3318,0.0146,0.1558
0.1010,800,-0.5654,0.8183,-0.0269,0.0987,-0.0129
0.1010,800,0.0821,-0.0659,-0.0674,0.9902,-0.0620
0.1010,800,0.2025,0.1162,-0.8622,-0.0952,-0.4394
0.1010,800,0.2326,0.1598,-0.3759,0.0210,0.8824
0.0497,800,0.3077,0.7725,-0.1388,0.5266,-0.1095
0.0497,800,0.4885,-0.5589,0.1650,0.6189,0.1967
0.0497,800,-0.3727,0.1313,-0.1516,0.1704,0.8899
0.0497,800,-0.6657,-0.2045,-0.2638,0.5370,-0.3964
0.0497,800,-0.2910,0.1783,0.9278,0.1492,-0.0187
0.0101,800,-0.4599,0.6771,0.1383,-0.5197,0.2018
0.0101,800,-0.3941,0.3928,-0.4688,0.6449,-0.2340
0.0101,800,-0.5773,-0.3898,0.2891,0.3057,0.5812
0.0101,800,-0.3247,-0.0975,0.6099,0.0449,-0.7149
0.0101,800,-0.4410,-0.4752,-0.5528,-0.4675,-0.2359
0.1003,1600,-0.4673,0.6901,-0.0899,-0.4249,0.3417
0.1003,1600,0.1958,0.2412,-0.4684,0.6679,0.4878
0.1003,1600,-0.1514,-0.5039,-0.7444,-0.3903,0.1295
0.1003,1600,-0.7312,-0.4029,0.2982,0.3394,0.3144
0.1003,1600,-0.4309,0.2220,-0.3598,0.3254,-0.7278
0.0521,1600,0.4152,-0.3669,-0.1283,0.3943,0.7219
0.0521,1600,-0.2199,0.5949,0.6041,0.1324,0.4639
0.0521,1600,-0.7238,-0.2524,-0.2737,-0.3746,0.4439
0.0521,1600,0.4844,0.0088,0.1869,-0.8280,0.2113
0.0521,1600,0.1438,0.6691,-0.7133,-0.0320,0.1480
0.0106,1600,0.3513,-0.6073,-0.5405,0.2975,0.3565
0.0106,1600,-0.1024,-0.0809,0.5525,0.8143,0.1211
0.0106,1600,0.0948,0.3989,-0.5069,0.4824,-0.5850
0.0106,1600,0.3074,-0.5607,0.3046,-0.1203,-0.6957
0.0106,1600,-0.8733,-0.3888,-0.2300,0.0342,-0.1791
