Noise,N,0,1,2,3
0.0969,100,0.5324,0.9407,1.2273,1.1217
0.0531,100,0.8793,0.9412,2.6804,0.5682
0.0105,100,0.8580,1.0214,0.7089,1.2558
0.1121,200,0.4911,0.5364,0.8335,1.1654
0.0528,200,0.1955,1.2599,0.8920,1.6454
0.0110,200,0.3252,1.6834,0.6096,1.4822
0.1051,400,0.4026,0.5135,1.0507,0.7280
0.0505,400,0.2136,0.6391,1.2047,1.6534
0.0105,400,0.3818,0.4244,0.5993,1.7622
0.1010,800,0.3425,0.4755,0.3678,1.2932
0.0497,800,0.5232,0.2670,1.0380,0.6146
0.0101,800,0.3541,0.2920,0.6269,0.6720
0.1003,1600,0.2598,0.5327,0.3924,0.4052
0.0521,1600,0.3735,0.3665,0.5744,0.3551
0.0106,1600,0.2050,0.4493,0.4788,0.5427
