Noise,N,0,1,2,3
0.0969,100,1.0000,0.0000,0.0000,0.0000
0.0969,100,0.0000,1.0000,0.0000,0.0000
0.0969,100,0.0000,0.0000,1.0000,0.0000
0.0969,100,0.0000,0.0000,0.0000,1.0000
0.0531,100,1.0000,0.0000,0.0000,0.0000
0.0531,100,0.0000,1.0000,0.0000,0.0000
0.0531,100,0.0000,0.0000,1.0000,0.0000
0.0531,100,0.0000,0.0000,0.0000,1.0000
0.0105,100,1.0000,0.0000,0.0000,0.0000
0.0105,100,0.0000,1.0000,0.0000,0.0000
0.0105,100,0.0000,0.0000,1.0000,0.0000
0.0105,100,0.0000,0.0000,0.0000,1.0000
0.1121,200,1.0000,0.0000,0.0000,0.0000
0.1121,200,0.0000,1.0000,0.0000,0.0000
0.1121,200,0.0000,0.0000,1.0000,0.0000
0.1121,200,0.0000,0.0000,0.0000,1.0000
0.0528,200,1.0000,0.0000,0.0000,0.0000
0.0528,200,0.0000,1.0000,0.0000,0.0000
0.0528,200,0.0000,0.0000,1.0000,0.0000
0.0528,200,0.0000,0.0000,0.0000,1.0000
0.0110,200,1.0000,0.0000,0.0000,0.0000
0.0110,200,0.0000,1.0000,0.0000,0.0000
0.0110,200,0.0000,0.0000,1.0000,0.0000
0.0110,200,0.0000,0.0000,0.0000,1.0000
0.1051,400,1.0000,0.0000,0.0000,0.0000
0.1051,400,0.0000,1.0000,0.0000,0.0000
0.1051,400,0.0000,0.0000,1.0000,0.0000
0.1051,400,0.0000,0.0000,0.0000,1.0000
0.0505,400,1.0000,0.0000,0.0000,0.0000
0.0505,400,0.0000,1.0000,0.0000,0.0000
0.0505,400,0.0000,0.0000,1.0000,0.0000
0.0505,400,0.0000,0.0000,0.0000,1.0000
0.0105,400,1.0000,0.0000,0.0000,0.0000
0.0105,400,0.0000,1.0000,0.0000,0.0000
0.0105,400,0.0000,0.0000,1.0000,0.0000
0.0105,400,0.0000,0.0000,0.0000,1.0000
0.1010,800,1.0000,0.0000,0.0000,0.0000
0.1010,800,0.0000,1.0000,0.0000,0.0000
0.1010,800,0.0000,0.0000,1.0000,0.0000
0.1010,800,0.0000,0.0000,0.0000,1.0000
0.0497,800,1.0000,0.0000,0.0000,0.0000
0.0497,800,0.0000,1.0000,0.0000,0.0000
0.0497,800,0.0000,0.0000,1.0000,0.0000
0.0497,800,0.0000,0.0000,0.0000,1.0000
0.0101,800,1.0000,0.0000,0.0000,0.0000
0.0101,800,0.0000,1.0000,0.0000,0.0000
0.0101,800,0.0000,0.0000,1.0000,0.0000
0.0101,800,0.0000,0.0000,0.0000,1.0000
0.1003,1600,1.0000,0.0000,0.0000,0.0000
0.1003,1600,0.0000,1.0000,0.0000,0.0000
0.1003,1600,0.0000,0.0000,1.0000,0.0000
0.1003,1600,0.0000,0.0000,0.0000,1.0000
0.0521,1600,1.0000,0.0000,0.0000,0.0000
0.0521,1600,0.0000,1.0000,0.0000,0.0000
0.0521,1600,0.0000,0.0000,1.0000,0.0000
0.0521,1600,0.0000,0.0000,0.0000,1.0000
0.0106,1600,1.0000,0.0000,0.0000,0.0000
0.0106,1600,0.0000,1.0000,0.0000,0.0000
0.0106,1600,0.0000,0.0000,1.0000,0.0000
0.0106,1600,0.0000,0.0000,0.0000,1.0000
