Noise,N,0,1,2,3
0.1,100,0.34410727244588857,0.07180199088105288,0.019320450198967755,0.06709638406058188
0.05,100,0.3037380357678614,0.09398163036151536,0.04727842043890389,0.06573205665481624
0.01,100,0.3591707794810025,0.05943511414676745,0.046123789066573335,0.028345221344045924
0.1,200,0.3488982355810337,0.056884854687147685,0.04043653042373927,0.007344737917058095
0.05,200,0.4152214430529084,0.02930894186456913,0.029468881445343244,0.022890873340755468
0.01,200,0.4610790981604125,0.05591727629928635,0.058362957566605825,0.006054696840678196
0.1,400,0.3452104644060465,0.0690590323278564,0.03109179852957825,0.012806784900120159
0.05,400,0.3925533534177261,0.13001877456935262,0.0162868452419946,0.004557126024080276
0.01,400,0.3521867813654467,0.08722607794404827,0.02752547880366497,0.007608722690417881
0.1,800,0.3228617392151494,0.1862649204022608,0.07546117690858893,0.005520085583402279
0.05,800,0.3148877599029475,0.16388756326069992,0.009407798804050864,0.049489086173537165
0.01,800,0.3241959857379463,0.08012042791153368,0.02148224818642196,0.015262148036897719
0.1,1600,0.3338967410949979,0.08993918231227918,0.022735910023573454,0.0267531870388852
0.05,1600,0.33106232802315605,0.1520773532539164,0.00957090993896233,0.005587564952590329
0.01,1600,0.35376810071829995,0.07550337344887402,0.026769068344559784,0.01258718815824572
