Noise,N,0,1,2,3
0.09689909045251084,100,1.0,0.0,0.0,0.0
0.09689909045251084,100,0.0,1.0,0.0,0.0
0.09689909045251084,100,0.0,0.0,1.0,0.0
0.09689909045251084,100,0.0,0.0,0.0,1.0
0.05313906292220436,100,1.0,0.0,0.0,0.0
0.05313906292220436,100,0.0,1.0,0.0,0.0
0.05313906292220436,100,0.0,0.0,1.0,0.0
0.05313906292220436,100,0.0,0.0,0.0,1.0
0.010501746730355397,100,1.0,0.0,0.0,0.0
0.010501746730355397,100,0.0,1.0,0.0,0.0
0.010501746730355397,100,0.0,0.0,1.0,0.0
0.010501746730355397,100,0.0,0.0,0.0,1.0
0.1121207812810688,200,1.0,0.0,0.0,0.0
0.1121207812810688,200,0.0,1.0,0.0,0.0
0.1121207812810688,200,0.0,0.0,1.0,0.0
0.1121207812810688,200,0.0,0.0,0.0,1.0
0.05281701353780674,200,1.0,0.0,0.0,0.0
0.05281701353780674,200,0.0,1.0,0.0,0.0
0.05281701353780674,200,0.0,0.0,1.0,0.0
0.05281701353780674,200,0.0,0.0,0.0,1.0
0.011021644976536763,200,1.0,0.0,0.0,0.0
0.011021644976536763,200,0.0,1.0,0.0,0.0
0.011021644976536763,200,0.0,0.0,1.0,0.0
0.011021644976536763,200,0.0,0.0,0.0,1.0
0.10510484094970331,400,1.0,0.0,0.0,0.0
0.10510484094970331,400,0.0,1.0,0.0,0.0
0.10510484094970331,400,0.0,0.0,1.0,0.0
0.10510484094970331,400,0.0,0.0,0.0,1.0
0.050496404120301,400,1.0,0.0,0.0,0.0
0.050496404120301,400,0.0,1.0,0.0,0.0
0.050496404120301,400,0.0,0.0,1.0,0.0
0.050496404120301,400,0.0,0.0,0.0,1.0
0.010452490384479731,400,1.0,0.0,0.0,0.0
0.010452490384479731,400,0.0,1.0,0.0,0.0
0.010452490384479731,400,0.0,0.0,1.0,0.0
0.010452490384479731,400,0.0,0.0,0.0,1.0
0.10103236917553071,800,1.0,0.0,0.0,0.0
0.10103236917553071,800,0.0,1.0,0.0,0.0
0.10103236917553071,800,0.0,0.0,1.0,0.0
0.10103236917553071,800,0.0,0.0,0.0,1.0
0.049656108376438926,800,1.0,0.0,0.0,0.0
0.049656108376438926,800,0.0,1.0,0.0,0.0
0.049656108376438926,800,0.0,0.0,1.0,0.0
0.049656108376438926,800,0.0,0.0,0.0,1.0
0.010125426537555157,800,1.0,0.0,0.0,0.0
0.010125426537555157,800,0.0,1.0,0.0,0.0
0.010125426537555157,800,0.0,0.0,1.0,0.0
0.010125426537555157,800,0.0,0.0,0.0,1.0
0.10034167000596704,1600,1.0,0.0,0.0,0.0
0.10034167000596704,1600,0.0,1.0,0.0,0.0
0.10034167000596704,1600,0.0,0.0,1.0,0.0
0.10034167000596704,1600,0.0,0.0,0.0,1.0
0.052114340906432806,1600,1.0,0.0,0.0,0.0
0.052114340906432806,1600,0.0,1.0,0.0,0.0
0.052114340906432806,1600,0.0,0.0,1.0,0.0
0.052114340906432806,1600,0.0,0.0,0.0,1.0
0.010559179023048289,1600,1.0,0.0,0.0,0.0
0.010559179023048289,1600,0.0,1.0,0.0,0.0
0.010559179023048289,1600,0.0,0.0,1.0,0.0
0.010559179023048289,1600,0.0,0.0,0.0,1.0
