Noise,N,0
0.09689909045251084,100,0.2713692801598945
0.05313906292220436,100,0.19507226748616344
0.010501746730355397,100,0.20310859802371756
0.1121207812810688,200,0.2461608937325303
0.05281701353780674,200,0.37166909936874604
0.011021644976536763,200,0.17138772241752606
0.10510484094970331,400,0.32376874293062397
0.050496404120301,400,0.2179109814107037
0.010452490384479731,400,0.2155534613898087
0.10103236917553071,800,0.2001322367838999
0.049656108376438926,800,0.2336902676433309
0.010125426537555157,800,0.2730379968353817
0.10034167000596704,1600,0.2948399885619559
0.052114340906432806,1600,0.19778003577934253
0.010559179023048289,1600,0.30724565708630697
