Noise,N,0
0.09689909045251084,100,-114.52928510677576
0.05313906292220436,100,-107.98196210715813
0.010501746730355397,100,-112.97264804476453
0.1121207812810688,200,-212.36559939311317
0.05281701353780674,200,-235.68504414648186
0.011021644976536763,200,-201.0391490622074
0.10510484094970331,400,-429.2896965341244
0.050496404120301,400,-361.79625623648695
0.010452490384479731,400,-375.645537785618
0.10103236917553071,800,-662.2062561021155
0.049656108376438926,800,-703.0238506018433
0.010125426537555157,800,-743.5154102830862
0.10034167000596704,1600,-1461.0539525506078
0.052114340906432806,1600,-1221.0304275687802
0.010559179023048289,1600,-1469.326052868848
