Noise,N,0,1,2,3,4
0.1102,100,0.2776,0.3634,0.0635,0.0002,0.0063
0.0511,100,0.3644,0.3629,0.0492,0.0002,-0.0000
0.0107,100,0.3545,0.2989,0.0357,0.0000,0.0006
0.1001,200,0.3682,0.3877,0.0594,-0.0000,0.0002
0.0515,200,0.3672,0.3701,0.0775,-0.0000,-0.0000
0.0099,200,0.3845,0.3597,0.0666,0.0001,0.0001
0.1039,400,0.3603,0.3624,0.0719,0.0000,0.0001
0.0522,400,0.3674,0.3497,0.0879,0.0000,-0.0000
0.0100,400,0.3609,0.3669,0.0792,0.0000,0.0000
0.1023,800,0.3618,0.3688,0.0795,0.0001,-0.0000
0.0527,800,0.3607,0.3700,0.0815,0.0000,0.0000
0.0106,800,0.3655,0.3618,0.0807,0.0004,0.0000
0.1024,1600,0.3582,0.3699,0.0827,-0.0000,-0.0000
0.0520,1600,0.3579,0.3705,0.0813,0.0005,0.0000
0.0103,1600,0.3657,0.3608,0.0815,0.0013,-0.0000
