Noise,N,0,1,2,3,4
0.1102,100,0.7473,0.5705,1.4549,20913.9700,24958.6254
0.0511,100,0.8716,0.9133,1.9925,10084.9820,35677.6386
0.0107,100,0.7576,0.7281,2.2437,29886.8350,9.6215
0.1001,200,0.8928,0.8680,1.6697,30863.4487,23823.5032
0.0515,200,0.7923,0.7660,1.3205,46107.7578,43411.5081
0.0099,200,0.7011,0.7658,1.1914,16715.7936,36078.7988
0.1039,400,0.8348,0.7773,1.0554,24223.4481,26045.0798
0.0522,400,0.7048,0.7148,1.0902,22927.6699,51077.6239
0.0100,400,0.7304,0.6482,1.1393,22148.5791,24221.1621
0.1023,800,0.7136,0.7237,1.0239,49.2124,41797.6085
0.0527,800,0.6952,0.6375,1.0035,44134.4372,50645.2176
0.0106,800,0.6260,0.6167,0.9658,18.8573,24123.4287
0.1024,1600,0.6266,0.6335,1.0101,32120.2584,38481.4295
0.0520,1600,0.6194,0.5849,0.9759,11521.5198,17426.2264
0.0103,1600,0.5626,0.5786,0.7954,5.6707,48694.3009
