Noise,N,0,1,2,3
0.1000,100,0.3934,0.2358,0.0441,0.0026
0.0500,100,0.3623,0.3162,0.0482,0.0000
0.0100,100,0.3750,0.3150,0.0326,0.0007
0.1000,200,0.3385,0.3649,0.0343,0.0012
0.0500,200,0.3662,0.3305,0.0759,0.0008
0.0100,200,0.3669,0.3161,0.0495,0.0001
0.1000,400,0.3358,0.3217,0.0380,0.0037
0.0500,400,0.3706,0.3262,0.0653,0.0009
0.0100,400,0.3672,0.3586,0.0686,0.0001
0.1000,800,0.3614,0.3238,0.0598,0.0021
0.0500,800,0.3596,0.3454,0.0671,0.0010
0.0100,800,0.3679,0.3535,0.0728,0.0007
0.1000,1600,0.3506,0.3398,0.0617,0.0008
0.0500,1600,0.3585,0.3525,0.0721,0.0006
0.0100,1600,0.3607,0.3687,0.0727,0.0008
