Noise,N,0,1,2,3,4
0.1102,100,0.3904,0.7133,0.9304,0.9981,1.0000
0.0511,100,0.3878,0.8418,0.9986,1.0000,1.0000
0.0107,100,0.3675,0.7912,0.9979,1.0000,1.0000
0.1001,200,0.3913,0.8706,0.9997,1.0000,1.0000
0.0515,200,0.3937,0.8339,0.9912,0.9968,1.0000
0.0099,200,0.4077,0.8068,0.9985,0.9993,1.0000
0.1039,400,0.3623,0.8434,0.9998,0.9999,1.0000
0.0522,400,0.3689,0.8319,1.0000,1.0000,1.0000
0.0100,400,0.3713,0.8436,0.9997,1.0000,1.0000
0.1023,800,0.3719,0.8468,0.9995,1.0000,1.0000
0.0527,800,0.3716,0.8430,1.0000,1.0000,1.0000
0.0106,800,0.3675,0.8422,0.9967,1.0000,1.0000
0.1024,1600,0.3699,0.8441,1.0000,1.0000,1.0000
0.0520,1600,0.3708,0.8447,0.9984,1.0000,1.0000
0.0103,1600,0.3657,0.8383,0.9943,1.0000,1.0000
