Noise,N,0,1,2,3
0.1102,100,0.3934,0.7151,0.9238,1.0000
0.0511,100,0.3623,0.7896,0.9979,1.0000
0.0107,100,0.3750,0.8513,0.9750,1.0000
0.1001,200,0.3385,0.8189,0.9346,1.0000
0.0515,200,0.3662,0.7884,0.9801,1.0000
0.0099,200,0.3669,0.7720,0.9944,1.0000
0.1039,400,0.3358,0.7752,0.8914,1.0000
0.0522,400,0.3706,0.7942,0.9350,1.0000
0.0100,400,0.3672,0.8341,0.9963,1.0000
0.1023,800,0.3614,0.7663,0.9181,1.0000
0.0527,800,0.3596,0.8054,0.9549,1.0000
0.0106,800,0.3679,0.8305,0.9884,1.0000
0.1024,1600,0.3506,0.7814,0.9311,1.0000
0.0520,1600,0.3585,0.8065,0.9518,1.0000
0.0103,1600,0.3607,0.8369,0.9876,1.0000
