Noise,N,0,1,2,3
0.1102,100,0.3704,0.1824,0.0757,0.0028
0.0511,100,0.3025,0.3056,0.0406,0.0050
0.0107,100,0.3029,0.2639,0.0750,0.0125
0.1001,200,0.3785,0.3137,0.0700,0.0018
0.0515,200,0.3431,0.3627,0.0624,0.0072
0.0099,200,0.3630,0.2797,0.0588,0.0062
0.1039,400,0.3555,0.3514,0.0728,0.0040
0.0522,400,0.3569,0.3466,0.0869,0.0025
0.0100,400,0.3477,0.3514,0.0836,0.0046
0.1023,800,0.3665,0.3599,0.0740,0.0026
0.0527,800,0.3566,0.3532,0.0795,0.0026
0.0106,800,0.3530,0.3599,0.0867,0.0021
0.1024,1600,0.3633,0.3601,0.0801,0.0014
0.0520,1600,0.3652,0.3556,0.0831,0.0012
0.0103,1600,0.3666,0.3588,0.0827,0.0035
