Noise,N,0,1,2
0.1102,100,1.0000,0.0000,0.0000
0.1102,100,0.0000,1.0000,0.0000
0.1102,100,0.0000,0.0000,1.0000
0.0511,100,1.0000,0.0000,0.0000
0.0511,100,0.0000,1.0000,0.0000
0.0511,100,0.0000,0.0000,1.0000
0.0107,100,1.0000,0.0000,0.0000
0.0107,100,0.0000,1.0000,0.0000
0.0107,100,0.0000,0.0000,1.0000
0.1001,200,1.0000,0.0000,0.0000
0.1001,200,0.0000,1.0000,0.0000
0.1001,200,0.0000,0.0000,1.0000
0.0515,200,1.0000,0.0000,0.0000
0.0515,200,0.0000,1.0000,0.0000
0.0515,200,0.0000,0.0000,1.0000
0.0099,200,1.0000,0.0000,0.0000
0.0099,200,0.0000,1.0000,0.0000
0.0099,200,0.0000,0.0000,1.0000
0.1039,400,1.0000,0.0000,0.0000
0.1039,400,0.0000,1.0000,0.0000
0.1039,400,0.0000,0.0000,1.0000
0.0522,400,1.0000,0.0000,0.0000
0.0522,400,0.0000,1.0000,0.0000
0.0522,400,0.0000,0.0000,1.0000
0.0100,400,1.0000,0.0000,0.0000
0.0100,400,0.0000,1.0000,0.0000
0.0100,400,0.0000,0.0000,1.0000
0.1023,800,1.0000,0.0000,0.0000
0.1023,800,0.0000,1.0000,0.0000
0.1023,800,0.0000,0.0000,1.0000
0.0527,800,1.0000,0.0000,0.0000
0.0527,800,0.0000,1.0000,0.0000
0.0527,800,0.0000,0.0000,1.0000
0.0106,800,1.0000,0.0000,0.0000
0.0106,800,0.0000,1.0000,0.0000
0.0106,800,0.0000,0.0000,1.0000
0.1024,1600,1.0000,0.0000,0.0000
0.1024,1600,0.0000,1.0000,0.0000
0.1024,1600,0.0000,0.0000,1.0000
0.0520,1600,1.0000,0.0000,0.0000
0.0520,1600,0.0000,1.0000,0.0000
0.0520,1600,0.0000,0.0000,1.0000
0.0103,1600,1.0000,0.0000,0.0000
0.0103,1600,0.0000,1.0000,0.0000
0.0103,1600,0.0000,0.0000,1.0000
