Noise,N,0,1,2,3
0.1,100,0.3933849321035138,0.2357943642769258,0.0440644715549056,0.0025940584507479713
0.05,100,0.36233151077501935,0.31623835823295543,0.048226626562982176,4.0085173160905794e-05
0.01,100,0.3750413859582762,0.3149747253923181,0.032624630712267316,0.0006859104435878986
0.1,200,0.3385215183227609,0.3648511413310884,0.034274986995326995,0.0012149921055980648
0.05,200,0.366209361139169,0.3304548998111421,0.07588914700827107,0.000819991750400179
0.01,200,0.36691036129351895,0.3160644982728015,0.04953655512897358,0.00012743426362670572
0.1,400,0.3358473733148888,0.3216596622580944,0.03796259073688127,0.00369252974540557
0.05,400,0.3705543094260917,0.3261788679562097,0.06531690892813022,0.0008610464476687709
0.01,400,0.3672070369940736,0.3585543403936776,0.06856319420134252,0.00012879247192175143
0.1,800,0.3613553436462236,0.3238397338644717,0.05976769564289226,0.002108994181995285
0.05,800,0.35959767875964144,0.3454338987948213,0.0670512030744799,0.0009956595067650894
0.01,800,0.3678510875993333,0.3534600533631149,0.07276446152646243,0.000715895156271316
0.1,1600,0.3505814049422001,0.3398110503224597,0.06168186602884813,0.0007740175231507597
0.05,1600,0.3584900535440391,0.35249549553352955,0.07205451091563114,0.0005576098574237292
0.01,1600,0.3607064218599277,0.36870750493755067,0.07268380048415082,0.0008250595328067604
