Noise,N,0,1,2,3
0.1,100,1.0,0.0,0.0,0.0
0.1,100,0.0,1.0,0.0,0.0
0.1,100,0.0,0.0,1.0,0.0
0.1,100,0.0,0.0,0.0,1.0
0.05,100,1.0,0.0,0.0,0.0
0.05,100,0.0,1.0,0.0,0.0
0.05,100,0.0,0.0,1.0,0.0
0.05,100,0.0,0.0,0.0,1.0
0.01,100,1.0,0.0,0.0,0.0
0.01,100,0.0,1.0,0.0,0.0
0.01,100,0.0,0.0,1.0,0.0
0.01,100,0.0,0.0,0.0,1.0
0.1,200,1.0,0.0,0.0,0.0
0.1,200,0.0,1.0,0.0,0.0
0.1,200,0.0,0.0,1.0,0.0
0.1,200,0.0,0.0,0.0,1.0
0.05,200,1.0,0.0,0.0,0.0
0.05,200,0.0,1.0,0.0,0.0
0.05,200,0.0,0.0,1.0,0.0
0.05,200,0.0,0.0,0.0,1.0
0.01,200,1.0,0.0,0.0,0.0
0.01,200,0.0,1.0,0.0,0.0
0.01,200,0.0,0.0,1.0,0.0
0.01,200,0.0,0.0,0.0,1.0
0.1,400,1.0,0.0,0.0,0.0
0.1,400,0.0,1.0,0.0,0.0
0.1,400,0.0,0.0,1.0,0.0
0.1,400,0.0,0.0,0.0,1.0
0.05,400,1.0,0.0,0.0,0.0
0.05,400,0.0,1.0,0.0,0.0
0.05,400,0.0,0.0,1.0,0.0
0.05,400,0.0,0.0,0.0,1.0
0.01,400,1.0,0.0,0.0,0.0
0.01,400,0.0,1.0,0.0,0.0
0.01,400,0.0,0.0,1.0,0.0
0.01,400,0.0,0.0,0.0,1.0
0.1,800,1.0,0.0,0.0,0.0
0.1,800,0.0,1.0,0.0,0.0
0.1,800,0.0,0.0,1.0,0.0
0.1,800,0.0,0.0,0.0,1.0
0.05,800,1.0,0.0,0.0,0.0
0.05,800,0.0,1.0,0.0,0.0
0.05,800,0.0,0.0,1.0,0.0
0.05,800,0.0,0.0,0.0,1.0
0.01,800,1.0,0.0,0.0,0.0
0.01,800,0.0,1.0,0.0,0.0
0.01,800,0.0,0.0,1.0,0.0
0.01,800,0.0,0.0,0.0,1.0
0.1,1600,1.0,0.0,0.0,0.0
0.1,1600,0.0,1.0,0.0,0.0
0.1,1600,0.0,0.0,1.0,0.0
0.1,1600,0.0,0.0,0.0,1.0
0.05,1600,1.0,0.0,0.0,0.0
0.05,1600,0.0,1.0,0.0,0.0
0.05,1600,0.0,0.0,1.0,0.0
0.05,1600,0.0,0.0,0.0,1.0
0.01,1600,1.0,0.0,0.0,0.0
0.01,1600,0.0,1.0,0.0,0.0
0.01,1600,0.0,0.0,1.0,0.0
0.01,1600,0.0,0.0,0.0,1.0
