Noise,N,0
0.11015508364278596,100,-86.49359325653734
0.0511057977146674,100,-57.88454428927018
0.010719759372056116,100,-68.18067616015361
0.10011801126336303,200,-149.43609918884326
0.05145792228758064,200,-120.28934745593392
0.009908044647757925,200,-81.51027816705745
0.10393334051207262,400,-305.0972719101211
0.052208201059356335,400,-213.99581186647484
0.00997319708098079,400,-75.62313636079519
0.10226422663555237,800,-536.0068903087252
0.05268798720839827,800,-395.55121226318323
0.010555982947814586,800,-45.798774323354785
0.10239374953760644,1600,-1048.9775384385723
0.05204944675465384,1600,-655.2996270734708
0.01034816936172506,1600,-96.0674924324548
