Noise,N,0,1,2
0.11015508364278596,100,0.4220699055410157,0.7271790822362973,1.0
0.0511057977146674,100,0.3644386460671529,0.8011557264626586,1.0
0.010719759372056116,100,0.3429078658102066,0.7740275545471904,1.0
0.10011801126336303,200,0.38097924571003866,0.8374503141775245,1.0
0.05145792228758064,200,0.3830366879604885,0.8230830089613176,1.0
0.009908044647757925,200,0.39512125439342,0.7880272834443602,1.0
0.10393334051207262,400,0.356824304062759,0.829740324369098,1.0
0.052208201059356335,400,0.3685818535531485,0.8265737091815164,1.0
0.00997319708098079,400,0.3657569106969164,0.831159793143331,1.0
0.10226422663555237,800,0.3693851570400874,0.8388558832050975,1.0
0.05268798720839827,800,0.37050977115677824,0.8402337828331574,1.0
0.010555982947814586,800,0.3675531489462364,0.837917930699767,1.0
0.10239374953760644,1600,0.3691574240709584,0.8381918472502585,1.0
0.05204944675465384,1600,0.36947448888270185,0.8385274915660164,1.0
0.01034816936172506,1600,0.3657248572014166,0.8370489484755186,1.0
