Noise,N,0
0.11015508364278596,100,-104.93178250987113
0.0511057977146674,100,-92.33993077307372
0.010719759372056116,100,-93.06934199637274
0.10011801126336303,200,-157.33270220057716
0.05145792228758064,200,-150.8082944942912
0.009908044647757925,200,-137.90200984207328
0.10393334051207262,400,-235.82462985384018
0.052208201059356335,400,-199.18813543182284
0.00997319708098079,400,-163.46872249083083
0.10226422663555237,800,-251.26935735347118
0.05268798720839827,800,-177.23518987831923
0.010555982947814586,800,-146.45896479961715
0.10239374953760644,1600,-256.68529666609754
0.05204944675465384,1600,-58.66250821356879
0.01034816936172506,1600,-173.53311846172375
