Noise,N,0,1,2,3,4
0.0,100,0.07290432223380211,0.10424864574893064,0.2410271168238478,0.6434780083380585,1.0
0.001,100,0.02863547555932315,0.11538243219196012,0.6759528424377517,0.7156035620374925,1.0
0.0,200,0.03815309615741731,0.07405073204645451,0.13972995603967134,0.6616694223540469,1.0
0.001,200,0.06739323204043597,0.22024459674890132,0.5496299517630581,0.7871186622222319,1.0
0.0,400,0.06860358319274715,0.1527612652364624,0.30817603638730073,0.4881914281724861,1.0
0.001,400,0.07957684851420828,0.4457007746517389,0.5780021774690036,0.6737443522961641,1.0
0.0,800,0.040494846570474134,0.12588645230390014,0.19177782356762715,0.4171578256492817,1.0
0.001,800,0.04237783393016956,0.12333815080382618,0.2954056423434691,0.4005481874613324,1.0
0.0,1600,0.1051774418272543,0.1880603217808081,0.3805245860348984,0.7425958340626542,1.0
0.001,1600,0.14325960036953125,0.1971504490067956,0.3906026211893038,0.6500211163602535,1.0
