Noise,N,0,1,2,3,4
0.0010,100,0.1618,-0.4468,-0.2992,0.2371,-0.7927
0.0010,100,-0.3350,-0.5620,0.5629,0.4729,0.1774
0.0010,100,0.6325,0.3118,0.6487,0.1401,-0.2497
0.0010,100,-0.4161,-0.0482,0.4157,-0.6890,-0.4207
0.0010,100,-0.5371,0.6204,0.0007,0.4752,-0.3175
0.0000,100,0.1365,-0.5810,-0.1250,0.7365,0.2927
0.0000,100,0.8590,-0.2465,0.1463,-0.1753,-0.3862
0.0000,100,-0.2256,0.1000,-0.2342,0.4161,-0.8432
0.0000,100,-0.4113,-0.7690,0.0385,-0.4407,-0.2094
0.0000,100,0.1529,-0.0173,-0.9522,-0.2438,0.1012
0.0010,200,0.4707,-0.1254,0.8573,0.0707,-0.1507
0.0010,200,-0.4832,-0.0763,0.3883,-0.6231,0.4708
0.0010,200,-0.5770,0.3175,0.3227,0.6744,0.0857
0.0010,200,0.2313,-0.4884,-0.0991,0.3807,0.7438
0.0010,200,-0.3982,-0.7995,0.0171,0.0836,-0.4416
0.0000,200,0.0971,-0.1300,0.0682,-0.6993,0.6928
0.0000,200,0.7313,-0.3313,-0.1255,0.4794,0.3316
0.0000,200,-0.5683,-0.7511,0.1234,0.2537,0.1826
0.0000,200,0.0640,0.2074,0.9459,0.1985,0.1371
0.0000,200,0.3589,-0.5159,0.2639,-0.4212,-0.5982
0.0010,400,-0.0110,-0.3947,0.8439,0.1924,-0.3082
0.0010,400,-0.6727,-0.5962,-0.2242,-0.3718,-0.0584
0.0010,400,0.2160,0.2204,-0.0149,-0.6222,-0.7193
0.0010,400,0.6836,-0.5737,-0.0736,-0.3209,0.3085
0.0010,400,0.1827,-0.3332,-0.4816,0.5785,-0.5376
0.0000,400,0.1209,-0.9153,0.1273,-0.3573,-0.0606
0.0000,400,-0.7161,-0.0859,0.0846,-0.1073,0.6790
0.0000,400,-0.1393,0.1336,0.9488,-0.0090,-0.2498
0.0000,400,0.0934,-0.3387,0.1187,0.9101,0.1847
0.0000,400,-0.6666,-0.1491,-0.2495,0.1799,-0.6624
0.0010,800,0.8098,-0.2629,-0.2052,0.4752,0.0846
0.0010,800,0.2515,-0.2203,0.8604,-0.2334,0.3057
0.0010,800,-0.2065,0.2957,-0.0855,0.3235,0.8706
0.0010,800,0.0803,-0.4639,-0.4539,-0.6564,0.3760
0.0010,800,-0.4815,-0.7614,0.0653,0.4291,-0.0087
0.0000,800,-0.3196,-0.6349,0.3779,-0.3657,-0.4672
0.0000,800,0.0656,0.4906,-0.2337,-0.7871,-0.2845
0.0000,800,-0.6580,0.0276,0.0493,-0.3009,0.6880
0.0000,800,-0.2448,0.5848,0.7119,0.2109,-0.2164
0.0000,800,-0.6330,0.1165,-0.5416,0.3343,-0.4250
0.0010,1600,-0.2755,-0.0841,0.5435,0.5471,-0.5678
0.0010,1600,-0.6988,-0.1789,-0.6645,0.1254,-0.1497
0.0010,1600,-0.2537,-0.7114,0.3343,0.0154,0.5634
0.0010,1600,0.2138,0.1898,-0.2217,0.8191,0.4451
0.0010,1600,0.5707,-0.6471,-0.3195,0.1175,-0.3737
0.0000,1600,0.5529,-0.1968,-0.5616,0.5630,0.1524
0.0000,1600,-0.7218,0.3234,-0.3881,0.4621,-0.1010
0.0000,1600,0.0140,-0.2966,-0.3816,-0.2728,-0.8317
0.0000,1600,0.1153,0.4947,-0.5693,-0.5835,0.2781
0.0000,1600,-0.3998,-0.7238,-0.2535,-0.2336,0.4443
