Noise,N,x0,x1,x2,x3,x4
0.0010,100,-0.7472,-0.4877,0.0161,0.3472,-0.2831
0.0010,100,0.4890,-0.8628,0.0027,-0.0950,0.0780
0.0010,100,0.3466,0.0978,0.0015,0.9305,0.0571
0.0010,100,0.0099,0.0102,0.9998,-0.0063,0.0053
0.0010,100,0.2831,0.0796,0.0012,-0.0561,-0.9539
0.0000,100,0.4612,-0.6433,-0.2844,0.4782,-0.2520
0.0000,100,0.4709,-0.2197,-0.0890,-0.8457,-0.0815
0.0000,100,-0.2485,0.1156,0.0469,-0.0811,-0.9571
0.0000,100,-0.6536,-0.7120,0.1164,-0.2015,0.1066
0.0000,100,-0.2756,0.1321,-0.9460,-0.0932,0.0492
0.0010,200,0.5547,-0.0144,0.7791,0.0758,-0.2582
0.0010,200,-0.7783,-0.0051,0.6052,-0.0384,0.1306
0.0010,200,-0.0749,-0.0003,-0.0402,0.9958,0.0127
0.0010,200,0.2622,0.0030,0.1234,0.0103,0.9540
0.0010,200,-0.0022,-0.9995,-0.0159,-0.0020,0.0039
0.0000,200,-0.1357,-0.5699,-0.3250,-0.6726,0.3072
0.0000,200,0.4809,-0.3995,-0.3661,0.5851,0.3634
0.0000,200,-0.8366,0.0523,-0.2738,0.3826,0.2745
0.0000,200,0.0291,0.0941,0.6322,-0.0418,0.7654
0.0000,200,-0.2193,-0.7090,0.5329,0.2357,-0.3311
0.0010,400,0.2259,-0.6797,0.4771,-0.0904,-0.5010
0.0010,400,-0.5330,0.2199,0.7890,0.0040,0.2120
0.0010,400,0.6083,0.6570,0.3129,-0.0135,-0.3165
0.0010,400,0.5420,-0.2343,0.2230,-0.0051,0.7756
0.0010,400,0.0337,-0.0549,0.0455,0.9958,-0.0467
0.0000,400,-0.6750,-0.4732,0.5422,-0.0957,0.1129
0.0000,400,-0.5445,-0.1504,-0.8222,-0.0289,0.0346
0.0000,400,-0.0949,-0.0274,0.0315,0.9942,0.0066
0.0000,400,0.4727,-0.8661,-0.1554,0.0270,-0.0315
0.0000,400,-0.1121,-0.0326,0.0371,-0.0069,-0.9921
0.0010,800,0.8093,-0.3339,-0.1664,0.4514,0.0447
0.0010,800,0.1657,-0.0306,0.9847,0.0428,0.0041
0.0010,800,0.3323,0.9386,-0.0306,0.0863,0.0085
0.0010,800,-0.0448,0.0079,0.0040,-0.0112,0.9989
0.0010,800,-0.4528,0.0802,0.0402,0.8870,-0.0111
0.0000,800,-0.7166,-0.0055,-0.1440,-0.6781,-0.0752
0.0000,800,0.6781,0.0024,0.0571,-0.7321,0.0299
0.0000,800,-0.1442,-0.0005,0.9879,-0.0568,-0.0063
0.0000,800,-0.0056,1.0000,-0.0004,-0.0020,-0.0002
0.0000,800,0.0753,0.0003,0.0063,0.0297,-0.9967
0.0010,1600,-0.4211,-0.6650,0.3736,0.0907,-0.4824
0.0010,1600,0.0924,0.0418,-0.0235,0.9941,0.0303
0.0010,1600,0.6647,-0.6890,-0.1751,-0.0439,0.2256
0.0010,1600,-0.4821,-0.2256,0.1271,0.0318,0.8363
0.0010,1600,-0.3739,-0.1746,-0.9017,0.0246,-0.1266
0.0000,1600,0.1775,-0.0998,-0.8893,0.3948,0.1084
0.0000,1600,-0.7157,0.0319,-0.3908,-0.4515,-0.3608
0.0000,1600,0.5280,-0.0042,-0.2243,-0.7963,0.1918
0.0000,1600,0.0379,0.9944,-0.0776,0.0500,0.0341
0.0000,1600,-0.4196,-0.0120,0.0012,-0.0603,0.9056
