Noise,N,x0,x1,x2,x3,x4
0.0010,100,0.9915,-0.1121,-0.0067,-0.0061,0.0297
0.0010,100,0.1122,0.9928,0.0002,-0.0006,0.0011
0.0010,100,0.0066,-0.0002,0.9998,0.0001,-0.0000
0.0010,100,-0.0345,0.0038,-0.0003,0.5005,0.4990
0.0010,100,0.0112,-0.0008,0.0001,0.4999,0.5001
0.0000,100,0.9976,-0.0011,-0.0127,0.0574,0.0004
0.0000,100,0.0011,0.9998,-0.0001,-0.0002,0.0001
0.0000,100,-0.0202,0.0002,0.5000,0.4996,-0.0000
0.0000,100,-0.0245,-0.0005,0.4996,0.4989,0.0004
0.0000,100,-0.0004,0.0002,0.0001,0.0001,0.9999
0.0010,200,0.9980,-0.0078,0.0269,-0.0168,-0.0238
0.0010,200,0.0078,0.9991,-0.0001,-0.0003,-0.0003
0.0010,200,-0.0269,-0.0004,0.9995,0.0001,0.0002
0.0010,200,-0.0155,0.0004,-0.0001,0.5002,-0.4997
0.0010,200,-0.0086,0.0007,0.0001,-0.4997,0.5002
0.0000,200,0.9973,-0.0189,0.0091,-0.0132,0.0018
0.0000,200,0.0189,0.9976,0.0001,-0.0005,0.0001
0.0000,200,-0.0091,0.0001,1.0000,0.0001,-0.0000
0.0000,200,0.0132,-0.0008,0.0001,0.9998,0.0000
0.0000,200,-0.0018,0.0001,-0.0000,0.0000,1.0000
0.0010,400,0.9995,-0.0107,-0.0037,-0.0187,0.0023
0.0010,400,0.0107,0.9999,-0.0000,-0.0000,0.0001
0.0010,400,0.0037,-0.0000,1.0000,-0.0000,-0.0000
0.0010,400,0.0040,0.0001,-0.0000,0.4998,0.4998
0.0010,400,0.0124,-0.0001,-0.0000,0.4999,0.5000
0.0000,400,0.9985,0.0012,-0.0096,-0.0077,0.0026
0.0000,400,-0.0012,0.9998,0.0002,0.0005,0.0000
0.0000,400,0.0096,0.0002,0.9997,-0.0005,-0.0000
0.0000,400,0.0077,0.0005,-0.0005,0.9989,-0.0001
0.0000,400,-0.0026,0.0000,-0.0000,-0.0001,1.0000
0.0010,800,0.9998,-0.0032,0.0067,-0.0085,-0.0042
0.0010,800,0.0032,1.0000,0.0000,-0.0000,-0.0000
0.0010,800,-0.0067,0.0000,0.9999,-0.0000,-0.0000
0.0010,800,0.0085,-0.0000,-0.0000,0.9999,-0.0000
0.0010,800,0.0042,-0.0000,-0.0000,-0.0001,1.0000
0.0000,800,0.9999,-0.0029,-0.0032,-0.0103,-0.0043
0.0000,800,0.0029,1.0000,-0.0000,-0.0000,-0.0000
0.0000,800,0.0032,-0.0000,1.0000,-0.0000,-0.0000
0.0000,800,0.0103,-0.0000,-0.0000,0.9999,-0.0000
0.0000,800,0.0043,-0.0000,-0.0000,-0.0000,1.0000
0.0010,1600,1.0000,0.0031,-0.0014,-0.0010,-0.0050
0.0010,1600,-0.0031,1.0000,-0.0000,0.0000,0.0000
0.0010,1600,0.0014,-0.0000,1.0000,0.0000,0.0000
0.0010,1600,0.0010,0.0000,0.0000,1.0000,-0.0000
0.0010,1600,0.0050,0.0000,0.0000,-0.0000,1.0000
0.0000,1600,0.9999,-0.0047,-0.0003,0.0017,0.0023
0.0000,1600,0.0047,1.0000,-0.0000,0.0000,0.0000
0.0000,1600,0.0003,-0.0000,1.0000,0.0000,-0.0000
0.0000,1600,-0.0017,0.0000,0.0000,1.0000,-0.0000
0.0000,1600,-0.0023,0.0000,-0.0000,-0.0000,1.0000
