Noise,N,0,1,2,3,4
0.0010,100,1.0000,0.0000,0.0000,0.0000,0.0000
0.0010,100,0.0000,1.0000,0.0000,0.0000,0.0000
0.0010,100,0.0000,0.0000,1.0000,0.0000,0.0000
0.0010,100,0.0000,0.0000,0.0000,1.0000,0.0000
0.0010,100,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,100,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,100,0.0000,1.0000,0.0000,0.0000,0.0000
0.0000,100,0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,100,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,100,0.0000,0.0000,0.0000,0.0000,1.0000
0.0010,200,1.0000,0.0000,0.0000,0.0000,0.0000
0.0010,200,0.0000,1.0000,0.0000,0.0000,0.0000
0.0010,200,0.0000,0.0000,1.0000,0.0000,0.0000
0.0010,200,0.0000,0.0000,0.0000,1.0000,0.0000
0.0010,200,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,200,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,200,0.0000,1.0000,0.0000,0.0000,0.0000
0.0000,200,0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,200,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,200,0.0000,0.0000,0.0000,0.0000,1.0000
0.0010,400,1.0000,0.0000,0.0000,0.0000,0.0000
0.0010,400,0.0000,1.0000,0.0000,0.0000,0.0000
0.0010,400,0.0000,0.0000,1.0000,0.0000,0.0000
0.0010,400,0.0000,0.0000,0.0000,1.0000,0.0000
0.0010,400,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,400,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,400,0.0000,1.0000,0.0000,0.0000,0.0000
0.0000,400,0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,400,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,400,0.0000,0.0000,0.0000,0.0000,1.0000
0.0010,800,1.0000,0.0000,0.0000,0.0000,0.0000
0.0010,800,0.0000,1.0000,0.0000,0.0000,0.0000
0.0010,800,0.0000,0.0000,1.0000,0.0000,0.0000
0.0010,800,0.0000,0.0000,0.0000,1.0000,0.0000
0.0010,800,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,800,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,800,0.0000,1.0000,0.0000,0.0000,0.0000
0.0000,800,0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,800,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,800,0.0000,0.0000,0.0000,0.0000,1.0000
0.0010,1600,1.0000,0.0000,0.0000,0.0000,0.0000
0.0010,1600,0.0000,1.0000,0.0000,0.0000,0.0000
0.0010,1600,0.0000,0.0000,1.0000,0.0000,0.0000
0.0010,1600,0.0000,0.0000,0.0000,1.0000,0.0000
0.0010,1600,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,1600,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1600,0.0000,1.0000,0.0000,0.0000,0.0000
0.0000,1600,0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,1600,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,1600,0.0000,0.0000,0.0000,0.0000,1.0000
